sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
0.0,0,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.001,1,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.002,2,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.003,3,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.004,4,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.005,5,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.006,6,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.007,7,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.008,8,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.009,9,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.01,10,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.011,11,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.012,12,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.013,13,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.014,14,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.015,15,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.016,16,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.017,17,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.018,18,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.019,19,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.02,20,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.021,21,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.022,22,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.023,23,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.025,24,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.026,25,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.027,26,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.028,27,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.029,28,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.03,29,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.031,30,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.032,31,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.033,32,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.034,33,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.035,34,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.036,35,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.037,36,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.038,37,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.039,38,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.04,39,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.041,40,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.042,41,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.043,42,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.044,43,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.045,44,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.046,45,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.047,46,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.049,47,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.05,48,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.051,49,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.052,50,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.053,51,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.054,52,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.055,53,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.056,54,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.057,55,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.058,56,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.059,57,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.06,58,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.061,59,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.062,60,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.063,61,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.064,62,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.065,63,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.066,64,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.067,65,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.068,66,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.069,67,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.07,68,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.071,69,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.072,70,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.074,71,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.075,72,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.076,73,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.077,74,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.078,75,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.079,76,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.08,77,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.081,78,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.082,79,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.083,80,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.084,81,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.085,82,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.086,83,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.087,84,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.088,85,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.089,86,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.09,87,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.091,88,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.092,89,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.093,90,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.094,91,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.095,92,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.096,93,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.098,94,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.099,95,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.1,96,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.101,97,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.102,98,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.103,99,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.104,100,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.105,101,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.106,102,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.107,103,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.108,104,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.109,105,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.11,106,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.111,107,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.112,108,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.113,109,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.114,110,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.115,111,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.116,112,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.117,113,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.118,114,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.119,115,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.12,116,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.122,117,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.123,118,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.124,119,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.125,120,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.126,121,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.127,122,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.128,123,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.129,124,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.13,125,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.131,126,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.132,127,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.133,128,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.134,129,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.135,130,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.136,131,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.137,132,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.138,133,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.139,134,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.14,135,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.141,136,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.142,137,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.143,138,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.144,139,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.145,140,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.147,141,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.148,142,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.149,143,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.15,144,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.151,145,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.152,146,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.153,147,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.154,148,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.155,149,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.156,150,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.157,151,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.158,152,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.159,153,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.16,154,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.161,155,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.162,156,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.163,157,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.164,158,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.165,159,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.166,160,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.167,161,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.168,162,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.169,163,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.171,164,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.172,165,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.173,166,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.174,167,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.175,168,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.176,169,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.177,170,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.178,171,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.179,172,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.18,173,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.181,174,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.182,175,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.183,176,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.184,177,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.185,178,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.186,179,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.187,180,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.188,181,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.189,182,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.19,183,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.191,184,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.192,185,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.193,186,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.194,187,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.196,188,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.197,189,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.198,190,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.199,191,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.2,192,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.201,193,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.202,194,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.203,195,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.204,196,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.205,197,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.206,198,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.207,199,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.208,200,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.209,201,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.21,202,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.211,203,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.212,204,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.213,205,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.214,206,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
0.215,207,119.87509015605738,"['note_on', 'note_on']","[0, 0]","[96, 96]","[1, 1]",ppp,0,2,100,0,0,64,500521
